HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms	Name Synonyms	Accession Numbers	Gene Family Tag	UniProt ID(supplied by UniProt)
HGNC:17788	LIN7B	lin-7 homolog B (C. elegans)		MALS-2, LIN-7B, VELI2		AF311862		Q9HAP6
HGNC:17789	LIN7C	lin-7 homolog C (C. elegans)		MALS-3, Lin7c, LIN-7C, LIN-7-C, VELI3, FLJ11215	"LIN-7 protein 3"	AK002077		Q9NUP9
HGNC:1779	CDK8	cyclin-dependent kinase 8		K35		X85753	CDK	P49336
HGNC:17791	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)		HBLP1, VRP, AD3	"BUB2-like protein 1", "vascular Rab-GAP/TBC-containing protein"	AB024057		O95759
HGNC:17792	VTI1A	vesicle transport through interaction with t-SNAREs 1A		MVti1, Vti1a, Vti1-rp2		BC017052		Q96AJ9
HGNC:17793	VTI1B	vesicle transport through interaction with t-SNAREs 1B		VTI2		AF060902		Q9UEU0
HGNC:17794	RHOU	ras homolog family member U	ARHU	WRCH-1, DJ646B12.2, FLJ10616, WRCH1, CDC42L1, hG28K, fJ646B12.2	"Ryu GTPase", "Wnt-1 responsive Cdc42 homolog", "2310026M05Rik", "GTP-binding protein like 1", "CDC42-like GTPase", "GTP-binding protein SB128", "ras-like gene family member U"			Q7L0Q8
HGNC:17795	SAV1	salvador homolog 1 (Drosophila)		WW45, WWP4, salvador		AK023071		Q9H4B6
HGNC:17796	XPO4	exportin 4		FLJ13046, KIAA1721		AB051508	XPO	Q9C0E2
HGNC:17798	YLPM1	YLP motif containing 1	C14orf170	ZAP		AK090435		P49750
HGNC:1780	CDK9	cyclin-dependent kinase 9	CDC2L4	PITALRE, C-2k, TAK		L25676	CDK	P50750
HGNC:17800	FARSB	phenylalanyl-tRNA synthetase, beta subunit	FARSLB	PheHB, FRSB	"phenylalanine tRNA ligase 1, beta, cytoplasmic"	AF042346	aaRS2	Q9NSD9
HGNC:17801	ZFP28	ZFP28 zinc finger protein		KIAA1431, mkr5			ZNF, ZKRAB	Q8NHY6
HGNC:17802	TIMM8AP1	translocase of inner mitochondrial membrane 8 homolog A (yeast) pseudogene 1	TIMM8AP	DDPP	"deafness dystonia pseudogene"	U66034		
HGNC:17804	PIPOX	pipecolic acid oxidase		LPIPOX	"L-pipecolic acid oxidase"	AF134593		Q9P0Z9
HGNC:17805	DIRC3	disrupted in renal carcinoma 3		FLJ14199		AK024261		
HGNC:17806	CYHR1	cysteine/histidine-rich 1		CHRP, KIAA0496, MGC13010		AB007965		Q6ZMK1
HGNC:17807	CHODL	chondrolectin	C21orf68	FLJ12627, PRED12, MT75		AF257472		Q9H9P2
HGNC:17808	ZC3H4	zinc finger CCCH-type containing 4	C19orf7	KIAA1064		AB028987	ZC3H	Q9UPT8
HGNC:17809	SMG6	smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)	C17orf31	KIAA0732, SMG-6, EST1A	"EST1 telomerase component homolog A (S. cerevisiae)"	AB018275		Q86US8
HGNC:1781	CDKL1	cyclin-dependent kinase-like 1 (CDC2-related kinase)		KKIALRE		AF390028	CDK	Q00532
HGNC:17810	AMOT	angiomotin		KIAA1071		AB028994		Q4VCS5
HGNC:17811	AMOTL1	angiomotin like 1		JEAP	"junction-enriched and associated protein"	AF453742		Q8IY63
HGNC:17812	AMOTL2	angiomotin like 2		LCCP	"Leman coiled-coil protein", "angiomotin-like protein 2"	AF175966		Q9Y2J4
HGNC:17813	IGSF8	immunoglobulin superfamily, member 8		CD81P3, EWI2, PGRL, CD316		AF407274	CD, VSET	Q969P0
HGNC:17814	FAM178A	family with sequence similarity 178, member A	C10orf6	FLJ10512, FLJ25012		AF460991		Q8IX21
HGNC:17817	IFI44L	interferon-induced protein 44-like	C1orf29	GS3686		AB000115		Q53G44
HGNC:17818	NT5C1B	5'-nucleotidase, cytosolic IB		AIRP, CN-IB		AF356185		Q96P26
HGNC:17819	NT5C1A	5'-nucleotidase, cytosolic IA		CN-I, CN-IA, CN1A, CN1, MGC119199, MGC119201	"cytosolic 5' nucleotidase, type 1A", "AMP-specific 5'-NT", "cytosolic 5'-nucleotidase IA"	AF331801		Q9BXI3
HGNC:1782	CDKL2	cyclin-dependent kinase-like 2 (CDC2-related kinase)		P56, KKIAMRE		U35146	CDK	Q92772
HGNC:17820	NT5C3A	5'-nucleotidase, cytosolic IIIA	NT5C3	UMPH1, PSN1, PN-I, UMPH, P5'N-1, cN-III, p36, POMP, hUMP1	"lupin"	AF312735		Q9H0P0
HGNC:17821	DDX39A	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A	DDX39	DDXL, BAT1L, URH49	"UAP56-related helicase, 49 kDa"	U90426	DDX	O00148
HGNC:17822	PTGES2	prostaglandin E synthase 2	C9orf15	FLJ14038		AK024100		Q9H7Z7
HGNC:17823	C9orf16	chromosome 9 open reading frame 16		EST00098, FLJ12823, MGC4639		AK022885		Q9BUW7
HGNC:17824	HRASLS2	HRAS-like suppressor 2		FLJ20556				Q9NWW9
HGNC:17825	PLA2G16	phospholipase A2, group XVI	HRASLS3	HREV107, H-REV107-1, HREV107-3, MGC118754., AdPLA	"adipose-specific PLA2"	X92814		P53816
HGNC:17826	WDR5B	WD repeat domain 5B		FLJ11287		AK002149	WDR	Q86VZ2
HGNC:17827	ST8SIA5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	SIAT8E		"ST8Sia V"	U91641	ST3G	O15466
HGNC:17829	GPR108	G protein-coupled receptor 108		LUSTR2			O7TM	Q9NPR9
HGNC:17830	GPR107	G protein-coupled receptor 107		KIAA1624, RP11-88G17, FLJ20998, LUSTR1		AF376725	O7TM	Q5VW38
HGNC:17831	OTSC3	otosclerosis 3						
HGNC:17833	PARK10	Parkinson disease 10 (susceptibility)		AAOPD			PARK	
HGNC:17834	RPL3P2	ribosomal protein L3 pseudogene 2		RPL3-Hom		D83770	RPL	
HGNC:17835	PPP2R5CP	protein phosphatase 2, regulatory subunit B', gamma pseudogene				AF411591		
HGNC:17836	MDH1B	malate dehydrogenase 1B, NAD (soluble)		FLJ25341, RP11-95H11				Q5I0G3
HGNC:17837	MSL3P1	male-specific lethal 3 homolog (Drosophila) pseudogene 1	MSL3L2			BI831020		P0C860
HGNC:17838	MKI67IP	MKI67 (FHA domain) interacting nucleolar phosphoprotein		Nopp34, NIFK	"nucleolar protein interacting with the FHA domain of pKi-67"	AB044971	RBM	Q9BYG3
HGNC:17839	CDC26	cell division cycle 26	C9orf17	APC12, ANAPC12	"CDC26 subunit of anaphase promoting complex", "anaphase promoting complex subunit 12"	AF503918	ANAPC	Q8NHZ8
HGNC:1784	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	CDKN1	P21, CIP1, WAF1, SDI1, CAP20, p21CIP1, p21Cip1/Waf1		U03106		P38936
HGNC:17840	CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5	C2orf9	MGC11104, MIC14	"mitochondrial intermembrane space cysteine motif protein of 14 kDa homolog (S. cerevisiae)"	BC004498	CHCHD	Q9BSY4
HGNC:17841	MORN5	MORN repeat containing 5	C9orf113, C9orf18	FLJ46909		AK128877		Q5VZ52
HGNC:17842	GGA1	golgi-associated, gamma adaptin ear containing, ARF binding protein 1				AF190862		Q9UJY5
HGNC:17843	TGS1	trimethylguanosine synthase 1	NCOA6IP	PIMT		AY028423		Q96RS0
HGNC:17844	KLHL36	kelch-like family member 36	C16orf44	FLJ12543		AK022605	KLHL, BTBD	Q8N4N3
HGNC:17845	SULT1B1	sulfotransferase family, cytosolic, 1B, member 1		ST1B2		D89479	SULT	O43704
HGNC:17846	ST6GALNAC4	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4	SIAT7D	ST6GALNACIV, SIAT3C		AB035172	ST3G	Q9H4F1
HGNC:17847	STK38	serine/threonine kinase 38		NDR				Q15208
HGNC:17848	STK38L	serine/threonine kinase 38 like		KIAA0965, NDR2	"nuclear Dbf2-related 2"	AB023182		Q9Y2H1
HGNC:17849	GPR124	G protein-coupled receptor 124		TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390	"tumor endothelial marker 5"	AB040964	GPCRBO, IGD	Q96PE1
HGNC:1785	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)		KIP1, P27KIP1		AF480891		P46527
HGNC:17850	HINFP	histone H4 transcription factor	MIZF	DKFZP434F162, HiNF-P, ZNF743	"histone nuclear factor P"	AL080201	ZNF	Q9BQA5
HGNC:17851	REXO2	RNA exonuclease 2		DKFZP566E144, SFN, CGI-114		AF151872		Q9Y3B8
HGNC:17852	CHPT1	choline phosphotransferase 1		CPT1	"phosphatidylcholine synthesizing enzyme"			Q8WUD6
HGNC:17853	IBTK	inhibitor of Bruton agammaglobulinemia tyrosine kinase	BTKI	DKFZP564B116, BTBD26		AF235049	BTBD, ANKRD	Q9P2D0
HGNC:17854	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)		RENT2, DKFZP434D222, KIAA1408, smg-3	"smg-3 homolog, nonsense mediated mRNA decay factor (C. elegans)"	AB037829		Q9HAU5
HGNC:17855	GLCE	glucuronic acid epimerase		KIAA0836, HSEPI	"heparan sulfate epimerase"	AB020643		O94923
HGNC:17856	HACL1	2-hydroxyacyl-CoA lyase 1	HPCL	2-HPCL, PHYH2		AJ131753		Q9UJ83
HGNC:17857	TRIM69	tripartite motif containing 69	RNF36	Trif, TRIMLESS		AF302088	RNF, TRIM	Q86WT6
HGNC:17858	GPSM1	G-protein signaling modulator 1		AGS3, DKFZP727I051	"AGS3 homolog (C. elegans)"	AI272212	TTC	Q86YR5
HGNC:17859	NUP188	nucleoporin 188kDa	KIAA0169			D79991		Q5SRE5
HGNC:1786	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	BWCR, BWS	P57, KIP2		D64137		P49918
HGNC:17860	SERBP1	SERPINE1 mRNA binding protein 1		PAI-RBP1, DKFZP564M2423, CGI-55, HABP4L, PAIRBP1, CHD3IP		AF151813		Q8NC51
HGNC:17861	TRAF3IP1	TNF receptor-associated factor 3 interacting protein 1		MIP-T3, DKFZP434F124, MIPT3	"microtubule interacting protein that associates with TRAF3"	AF230877		Q8TDR0
HGNC:17862	SENP3	SUMO1/sentrin/SMT3 specific peptidase 3		DKFZP586K0919, SSP3, DKFZp762A152, SMT3IP1, Ulp1		AK000923		Q9H4L4
HGNC:17864	DGCR10	DiGeorge syndrome critical region gene 10 (non-protein coding)		DGS-B		L77559	LNCRNA, INTERGENIC	
HGNC:17865	FAM162A	family with sequence similarity 162, member A	C3orf28	E2IG5		AF191020		Q96A26
HGNC:17866	HAVCR1	hepatitis A virus cellular receptor 1		HAVCR-1, TIM-1, TIM1, HAVCR, TIMD1		AF043724	VSET	Q96D42
HGNC:17867	NPTN	neuroplastin	SDFR1	SDR1, GP55, GP65, np65, np55		AF035287	ISET, IGD	Q9Y639
HGNC:17868	BBC3	BCL2 binding component 3		JFY1, PUMA		AF332558		Q96PG8
HGNC:17869	AFF4	AF4/FMR2 family, member 4		AF5Q31, MCEF	"ALL1 fused gene from 5q31"	AF197927		Q9UHB7
HGNC:1787	CDKN2A	cyclin-dependent kinase inhibitor 2A	CDKN2, MLM	CDK4I, p16, INK4a, MTS1, CMM2, ARF, p19, p14, INK4, p16INK4a, p19Arf		L27211		P42771
HGNC:17870	INVS	inversin	NPHP2		"nephrocystin 2"	AF039217	ANKRD	Q9Y283
HGNC:17871	NMRK2	nicotinamide riboside kinase 2	ITGB1BP3	MIBP, NRK2	"muscle-specific beta 1 integrin binding protein", "nicotinamide riboside kinase 2"	AF190819		Q9NPI5
HGNC:17872	C6orf211	chromosome 6 open reading frame 211		FLJ12910		AJ420548		Q9H993
HGNC:17874	LSM3	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)		YLR438C, SMX4, USS2		AF182289		P62310
HGNC:17875	FBXL8	F-box and leucine-rich repeat protein 8		Fbl8		AK002140	FBXL	Q96CD0
HGNC:17877	NMNAT1	nicotinamide nucleotide adenylyltransferase 1		NMNAT, PNAT1		AF312734		Q9HAN9
HGNC:17879	CENPL	centromere protein L	C1orf155	dJ383J4.3, FLJ31044		BC033154, BC019022, AK055606		Q8N0S6
HGNC:1788	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)		P15, MTS2, INK4B, TP15, CDK4I, p15INK4b		AB060808		P42772
HGNC:17880	LMTK2	lemur tyrosine kinase 2		KIAA1079, KPI2, KPI-2, cprk, LMR2, BREK, AATYK2		AB029002		Q8IWU2
HGNC:17881	NRSN1	neurensin 1	VMP	p24		AF418980		Q8IZ57
HGNC:17882	SREK1	splicing regulatory glutamine/lysine-rich protein 1	SFRS12	DKFZp564B176, SRrp86, SRrp508	"serine-arginine-rich splicing regulatory protein 508"	AF459094	RBM	Q8WXA9
HGNC:17883	DBF4B	DBF4 homolog B (S. cerevisiae)		FLJ13087, DRF1, ASKL1, chifb, ZDBF1B	"chiffon homolog B (Drosophila)", "zinc finger, DBF-type containing 1B"	AF465820	ZDBF	Q8NFT6
HGNC:17884	SPATA3	spermatogenesis associated 3		TSARG1		AY032925		Q8NHX4
HGNC:17885	STEAP2	STEAP family member 2, metalloreductase	PCANAP1	IPCA-1, STAMP1, STMP		AF455138		Q8NFT2
HGNC:17886	RBMXL2	RNA binding motif protein, X-linked-like 2		HNRNPG-T, HNRPGT	"heterogeneous nuclear ribonucleoprotein G T"	AF069682	RBM	O75526
HGNC:17887	DHDH	dihydrodiol dehydrogenase (dimeric)		HUM2DD		AB021933		Q9UQ10
HGNC:17888	CRCP	CGRP receptor component		CGRP-RCP, RCP, RCP9	"calcitonin gene-related peptide-receptor component protein"	AF073792		O75575
HGNC:17889	APEX2	APEX nuclease (apurinic/apyrimidinic endonuclease) 2		APEXL2, APE2, XTH2		AB021260		Q9UBZ4
HGNC:1789	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)		INK4C, p18		BC000598	ANKRD	P42773
HGNC:17890	HPGDS	hematopoietic prostaglandin D synthase		GSTS, PGDS, H-PGDS, PGD2, GSTS1-1	"glutathione S-transferase sigma"	D82073	SGST	O60760
HGNC:17893	PGAP2	post-GPI attachment to proteins 2		FRAG1, CWH43-N	"FGF receptor activating protein 1", "cell wall biogenesis 43 N-terminal homolog (S. cerevisiae)"	AF159615		Q9UHJ9
HGNC:17894	ZNF638	zinc finger protein 638	ZFML	NP220, MGC26130, Zfp638		D83032	RBM	Q14966
HGNC:17895	UBE2S	ubiquitin-conjugating enzyme E2S		E2-EPF	"ubiquitin carrier protein", "ubiquitin-conjugating enzyme E2-24 kD", "ubiquitin-protein ligase"	BC004236	UBE2	Q16763
HGNC:17896	PRPF19	pre-mRNA processing factor 19	PRP19	UBOX4, NMP200, PSO4, hPSO4	"nuclear matrix protein NMP200 related to splicing factor PRP19"	BC018698	WDR, UBOX	Q9UMS4
HGNC:17897	UTP20	UTP20, small subunit (SSU) processome component, homolog (yeast)		DRIM	"down regulated in metastasis"	AJ006778		O75691
HGNC:17898	NKIRAS2	NFKB inhibitor interacting Ras-like 2		KBRAS2, DKFZP434N1526, kappaB-Ras2		AF229840		Q9NYR9
HGNC:17899	NKIRAS1	NFKB inhibitor interacting Ras-like 1		KBRAS1, kappaB-Ras1		AF229839		Q9NYS0
HGNC:179	ACYP1	acylphosphatase 1, erythrocyte (common) type				X84194		P07311
HGNC:1790	CDKN2D	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)		INK4D, p19			ANKRD	P55273
HGNC:17902	COMMD5	COMM domain containing 5		HT002, FLJ13008, HCaRG		AK023070		Q9GZQ3
HGNC:17903	MED4	mediator complex subunit 4	VDRIP	HSPC126, DRIP36, TRAP36		AF161475		Q9NPJ6
HGNC:17904	DROSHA	drosha, ribonuclease type III	RNASEN	RNASE3L, Etohi2, HSA242976, RN3	"drosha, ribonuclease type III", "drosha, double-stranded RNA-specific endoribonuclease"	AF116910		Q9NRR4
HGNC:17905	FHOD1	formin homology 2 domain containing 1		FHOS		AF113615		Q9Y613
HGNC:17906	DDX50	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50		GU2, MGC3199, GUB, RH-II/GuB		AF334103	DDX	Q9BQ39
HGNC:17907	CBWD2	COBW domain containing 2				AF452722		Q8IUF1
HGNC:17908	ZBTB43	zinc finger and BTB domain containing 43	ZNF297B	KIAA0414, ZNF-X, FLJ22470, ZBTB22B		AF049907	ZBTB, BTBD, ZNF	O43298
HGNC:17909	DUSP16	dual specificity phosphatase 16		MKP-7, KIAA1700, MKP7	"MAPK phosphatase-7"	AB052156	DUSPT	Q9BY84
HGNC:1791	CDKN3	cyclin-dependent kinase inhibitor 3		KAP, CDI1	"kinase associated phosphatase", "cyclin-dependent kinase inhibitor", "CDK2-associated dual specificity phosphatase"	U02681	DUSPC	Q16667
HGNC:17910	PRSS50	protease, serine, 50		TSP50, CT20	"cancer/testis antigen 20", "testes specific protease 50"	AF100707	PRSS	Q9UI38
HGNC:17911	ALKBH1	alkB, alkylation repair homolog 1 (E. coli)	ALKBH	hABH, alkB, ABH		X91992	ALKB	Q13686
HGNC:17913	SMCR9	Smith-Magenis syndrome chromosome region, candidate 9						P0DM48
HGNC:17914	SMCR2	Smith-Magenis syndrome chromosome region, candidate 2 (non-protein coding)				AI821758	LNCRNA, INTERGENIC	
HGNC:17915	SMCR3	Smith-Magenis syndrome chromosome region, candidate 3				AA609047		
HGNC:17916	ZDHHC1	zinc finger, DHHC-type containing 1	C16orf1	HSU90653, ZNF377		U90653	ZDHHC	Q8WTX9
HGNC:17918	SMCR5	Smith-Magenis syndrome chromosome region, candidate 5 (non-protein coding)		NCRNA00034	"non-protein coding RNA 34"		LNCRNA, ANTISENSE	Q8TEV8
HGNC:17919	SMCR6	Smith-Magenis syndrome chromosome region, candidate 6				AJ230805, BF511382, W94594		
HGNC:1792	CDL1	Cornelia de Lange syndrome 1	CDL					
HGNC:17920	SMCR7	Smith-Magenis syndrome chromosome region, candidate 7		MGC23130, MiD49		BC014973		Q96C03
HGNC:17921	SMCR8	Smith-Magenis syndrome chromosome region, candidate 8		FLJ34716		AF467440		Q8TEV9
HGNC:17922	REPIN1	replication initiator 1	ZNF464	RIP60, AP4, H_DJ0584D14.12, Zfp464	"replication initiation region protein (60kD)", "zinc finger protein AP4", "zinc finger protein 464 (RIP60)"	AF201303	ZNF	Q9BWE0
HGNC:17923	GRHL1	grainyhead-like 1 (Drosophila)	TFCP2L2	LBP-32, MGR		AF198489		Q9NZI5
HGNC:17925	TFCP2L1	transcription factor CP2-like 1		LBP-9, CRTR1		AF198488		Q9NZI6
HGNC:17927	SENP1	SUMO1/sentrin specific peptidase 1				AF149770		Q9P0U3
HGNC:17928	PSMC3IP	PSMC3 interacting protein		TBPIP, GT198, HUMGT198A	"TBP-1 interacting protein"	AB030304, NM_013290, BC008792	PSM	Q9P2W1
HGNC:17929	AADAT	aminoadipate aminotransferase		KATII, KAT2	"kynurenine aminotransferase II", "L kynurenine/alpha aminoadipate aminotransferase"	AF097994		Q8N5Z0
HGNC:1793	CDL2	Cornelia de Lange syndrome 2						
HGNC:17930	PURG	purine-rich element binding protein G		PURG-A, PURG-B		AF195513		Q9UJV8
HGNC:17931	SERTAD3	SERTA domain containing 3		RBT1	"RPA-binding trans-activator"	AF192529		Q9UJW9
HGNC:17932	SERTAD1	SERTA domain containing 1		SEI1, TRIP-Br1	"CDK4-binding protein p34SEI", "transcriptional regulator interacting with the PHD-bromodomain 1"	AF117959		Q9UHV2
HGNC:17933	KAT8	K(lysine) acetyltransferase 8	MYST1	MOF, FLJ14040, hMOF, ZC2HC8		AF217501	KAT, ZC2HC	Q9H7Z6
HGNC:17934	PLA2G3	phospholipase A2, group III		GIII-SPLA2		AF220490		Q9NZ20
HGNC:17935	CD207	CD207 molecule, langerin		Langerin, CLEC4K		AJ242859	CLEC, CD	Q9UJ71
HGNC:17936	PODXL2	podocalyxin-like 2		PODLX2, endoglycan	"endoglycan"	AF219137		Q9NZ53
HGNC:17937	CUZD1	CUB and zona pellucida-like domains 1		ERG-1, UO-44		AF305835		Q86UP6
HGNC:17938	CALY	calcyon neuron-specific vesicular protein	DRD1IP	CALCYON, NSG3		AF225903		Q9NYX4
HGNC:17939	SLC45A1	solute carrier family 45, member 1	DNB5			AF118274	SLC	Q9Y2W3
HGNC:17940	MYEF2	myelin expression factor 2		MEF-2, FLJ11213, KIAA1341, HsT18564		AB037762	RBM	Q9P2K5
HGNC:17941	NTM	neurotrimin		HNT, NTRI, IGLON2	"neurotrimin", "IgLON family member 2"	AF126426	ISET	Q9P121
HGNC:17942	MRX78	mental retardation, X-linked 78						
HGNC:17943	DERL2	derlin 2		F-LAN-1, FLANa, F-LANa, CGI-101, derlin-2		BC010890		Q9GZP9
HGNC:17944	EXOSC3	exosome component 3		hRrp40p, Rrp40p, RRP40, CGI-102, p10, hRrp-40	"exosome component Rrp40", "CGI-102 protein"	BC002437		Q9NQT5
HGNC:17945	PRLH	prolactin releasing hormone		PRH		AB015419	ENDOLIG	P81277
HGNC:17946	NOSIP	nitric oxide synthase interacting protein		CGI-25		AF132959		Q9Y314
HGNC:17947	THEM4	thioesterase superfamily member 4		CTMP	"C-terminal modulator protein"	AJ313515		Q5T1C6
HGNC:17948	YBX2	Y box binding protein 2		MSY2, CSDA3		AF096834		Q9Y2T7
HGNC:17949	TJAP1	tight junction associated protein 1 (peripheral)	TJP4	PILT		AK024269		Q5JTD0
HGNC:1795	CDO1	cysteine dioxygenase type 1						Q16878
HGNC:17950	LOH12CR1	loss of heterozygosity, 12, chromosomal region 1		LOH1CR12		AY037865		Q969J3
HGNC:17951	PDB5	Paget disease of bone 5						
HGNC:17952	PDB6	Paget disease of bone 6						
HGNC:17953	PSORS5	psoriasis susceptibility 5						
HGNC:17955	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	HBXIP	XIP, MGC71071	"HBx-interacting protein", "hepatitis B virus x-interacting protein (9.6kD)"	AF029890		O43504
HGNC:17956	WDR18	WD repeat domain 18		Ipi3	"Involved in Processing ITS2 3 homolog (S. cerevisiae)"		WDR	Q9BV38
HGNC:17958	SAMD1	sterile alpha motif domain containing 1				BC007384	SAMD	Q6SPF0
HGNC:17959	RPL21P4	ribosomal protein L21 pseudogene 4					RPL	
HGNC:17960	RPLP0P2	ribosomal protein, large, P0 pseudogene 2				BC010523	RPL	
HGNC:17961	TRPM8	transient receptor potential cation channel, subfamily M, member 8				AC005538	TRP	Q7Z2W7
HGNC:17962	MRGPRX1	MAS-related GPR, member X1		MRGX1			GPCRAO	Q96LB2
HGNC:17963	PARK11	Parkinson disease 11 (autosomal recessive, early onset)					PARK	
HGNC:17964	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)		MDT1, SDR7C1, ARSDR1	"short chain dehydrogenase/reductase family 7C, member 1", "androgen-regulated short-chain dehydrogenase/reductase 1"	AF151840	SDRC2	Q8TC12
HGNC:17966	CCDC41	coiled-coil domain containing 41		NY-REN-58		AF155115		Q9Y592
HGNC:17967	IRAK4	interleukin-1 receptor-associated kinase 4		NY-REN-64		AF155118		Q9NWZ3
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase		alpha4GnT		AF141315		Q9UNA3
HGNC:17969	GABRR3	gamma-aminobutyric acid (GABA) A receptor, rho 3			"GABA(A) receptor, rho 3"	Y18994	GABR, GABRA	A8MPY1
HGNC:17970	PAIP2	poly(A) binding protein interacting protein 2		PAIP2A		AF151052		Q9BPZ3
HGNC:17971	C6orf203	chromosome 6 open reading frame 203		HSPC230, PRED31		AF151064		Q9P0P8
HGNC:17972	NRN1	neuritin 1		NRN		AF136631		Q9NPD7
HGNC:17973	GCNT4	glucosaminyl (N-acetyl) transferase 4, core 2		C2GNT3	"core 2 beta-1,6-N-acetylglucosaminyltransferase 3", "beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4"	AF132035	GCNT	Q9P109
HGNC:17975	REEP2	receptor accessory protein 2	C5orf19	SGC32445		AK056193	REEP	Q9BRK0
HGNC:17976	RPL10L	ribosomal protein L10-like				AB063608	RPL	Q96L21
HGNC:17978	B3GALT6	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6		beta3GalT6	"beta-1,3-galactosyltransferase-6"	AY050570	B3GT	Q96L58
HGNC:1798	CDR1	cerebellar degeneration-related protein 1, 34kDa	CDR	CDR62A, CDR34	"Cerebellar degeneration-related protein-1 (34kD)"			P51861
HGNC:17980	MRGPRX3	MAS-related GPR, member X3		MRGX3			GPCRAO	Q96LB0
HGNC:17981	RTCA	RNA 3'-terminal phosphate cyclase	RTCD1	RPC, RTC1		Y11651		O00442
HGNC:17983	MRGPRX2	MAS-related GPR, member X2		MRGX2			GPCRAO	Q96LB1
HGNC:17984	FAUP1	FBR-MuSV-associated ubiquitously expressed (fox derived) pseudogene 1		FAU1P		U02523		
HGNC:17985	ROBO4	roundabout, axon guidance receptor, homolog 4 (Drosophila)		FLJ20798, MRB, ECSM4	"magic roundabout"	AF361473	ISET, FN3	Q8WZ75
HGNC:17986	CXorf31	chromosome X open reading frame 31		OTTHUMG00000021429		BC038573		Q5VT33
HGNC:17989	SLC22A12	solute carrier family 22 (organic anion/urate transporter), member 12		OAT4L, RST, URAT1		AB071863	SLC	Q96S37
HGNC:1799	CDR2	cerebellar degeneration-related protein 2, 62kDa		CDR62, Yo	"Yo paraneoplastic antigen"	M63256		Q01850
HGNC:17990	OLFM3	olfactomedin 3		NOE3	"optimedin"	AF397392		Q96PB7
HGNC:17991	MESTIT1	MEST intronic transcript 1, antisense RNA		NCRNA00040, MEST-AS1	"non-protein coding RNA 40", "MEST antisense RNA 1 (non-protein coding)"	AF482998	LNCRNA, ANTISENSE	
HGNC:17992	TRPM3	transient receptor potential cation channel, subfamily M, member 3		KIAA1616, LTRPC3, GON-2	"melastatin 2"	AB046836	TRP	Q9HCF6
HGNC:17993	TRPM4	transient receptor potential cation channel, subfamily M, member 4		FLJ20041		AK000048	TRP	Q8TD43
HGNC:17994	TRPM7	transient receptor potential cation channel, subfamily M, member 7		CHAK1, LTRPC7, TRP-PLIK		AF346629	TRP	Q96QT4
HGNC:17995	TRPM6	transient receptor potential cation channel, subfamily M, member 6	HOMG, HSH	CHAK2, FLJ22628		AK026281	TRP	Q9BX84
HGNC:17996	NAGS	N-acetylglutamate synthase		AGAS, ARGA, NAT7		AY116537		Q8N159
HGNC:17997	FKRP	fukutin related protein		LGMD2I, MDC1C		AJ314847		Q9H9S5
HGNC:17998	RPL22P1	ribosomal protein L22 pseudogene 1					RPL	
HGNC:17999	PKN3	protein kinase N3		PKNbeta		AB019692		Q6P5Z2
HGNC:18	AAMP	angio-associated, migratory cell protein				AB209790	WDR	Q13685
HGNC:180	ACYP2	acylphosphatase 2, muscle type				X84195		P14621
HGNC:1800	CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1				U65887		Q92903
HGNC:18000	PHF5A	PHD finger protein 5A		MGC1346, SF3b14b, INI, bK223H9.2, Rds3, SAP14b		BC007321	PHF	Q7RTV0
HGNC:18001	TOMM40	translocase of outer mitochondrial membrane 40 homolog (yeast)		PEREC1, D19S1177E, C19orf1, TOM40, PER-EC1		AF043250		O96008
HGNC:18002	TOMM22	translocase of outer mitochondrial membrane 22 homolog (yeast)		TOM22		AB040119		Q9NS69
HGNC:18003	OLIG3	oligodendrocyte transcription factor 3		Bhlhb7, bHLHe20		AK096362	bHLH	Q7RTU3
